公告,#genre#
请阅读,https://apd-vlive.apdcdn.tc.qq.com/vhot2.qqvideo.tc.qq.com/AushHwnetjq70sqyalY5XtqgyoE27STTmHONxHfHnB6k/B_JxNyiJmktHRgresXhfyMepo6vx8WVcdyfuHuv6uJKag_K2HP_LebFs1QZh2CGVlb/svp_50200/gzc_1000195_0bc3ymax4aabw4aptgmiozrrtq6ep3bqc7sa.f2.mp4?sdtfrom=v1010&guid=dcf3b67caa37bbef&vkey=C717BB183A01B676160FCAFA81E053F20961D34DE903F4C49A9E21567E278BE1F87362C00CEF656658DDBE80DF0C1FAE44C1805289B7D276A46E131E59CB5E7E3C4CA0095778082F17A13E8410D0C0AA9A257D6EB35DCCCA41F35BFEE9C4C3A62D48081A6C4FD16E3315F8F0132BEA7AF9C458040239A17074E9869FFAB9010AE12A1D4616666D61EB4C0A7FA299C0F5172780A07A3DC22622978B7D1E27AE6C49FAF2E1E287B390
我的主页,https://canghaixiao369.github.io/canghaixiao.github.io/
更新日期,https://apd-ugcvlive.apdcdn.tc.qq.com/om.tc.qq.com/AfRQEqU8M4RuSFlAUY0J-trbzFrodh6a9DsHQeZp-UR4/B_JxNyiJmktHRgresXhfyMerY_o4PBzsUHlVBFCs5Pi4vSYX7gzUB7kvrtMNFHHxng/svp_50069/gzc_1000035_0bc3cuaa2aaafuabwic5ofqzkfodbukqadka.f204110.mp4?sdtfrom=v1010&guid=dcf3b67caa37bbef&vkey=5738C0C3CAC6914B1B1E37D08371C2C3E0697192ACA840C5AF3C104372C2242A21845A9BF3C973370951822D49CE0392011A7D08AFC55DAD4E4C388CF9EE047CA1133DFFDC7DD132311F9AD5FAA58B866DB1E8628CC68B94149288A9D1E2962F033589DAE8A2CE325C9B720DA5CB31E57122E23F076EBE6BAE82BF167B25007A1C3F8A78A92C6EEBA4ED10B571F87F24C5E47B3A09A2F17AAF6D1D4B148A68F6F9083C715BF91B9D
2025-03-05,https://apd-ugcvlive.apdcdn.tc.qq.com/om.tc.qq.com/AfRQEqU8M4RuSFlAUY0J-trbzFrodh6a9DsHQeZp-UR4/B_JxNyiJmktHRgresXhfyMerY_o4PBzsUHlVBFCs5Pi4vSYX7gzUB7kvrtMNFHHxng/svp_50069/gzc_1000035_0bc3cuaa2aaafuabwic5ofqzkfodbukqadka.f204110.mp4?sdtfrom=v1010&guid=dcf3b67caa37bbef&vkey=5738C0C3CAC6914B1B1E37D08371C2C3E0697192ACA840C5AF3C104372C2242A21845A9BF3C973370951822D49CE0392011A7D08AFC55DAD4E4C388CF9EE047CA1133DFFDC7DD132311F9AD5FAA58B866DB1E8628CC68B94149288A9D1E2962F033589DAE8A2CE325C9B720DA5CB31E57122E23F076EBE6BAE82BF167B25007A1C3F8A78A92C6EEBA4ED10B571F87F24C5E47B3A09A2F17AAF6D1D4B148A68F6F9083C715BF91B9D
央视频道,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1$LR•IPV4『线路1』
CCTV1,http://ttkx.cc:1380/653哈哈/mg9.php?id=cctv1$LR•IPV4『线路2』
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8$LR•IPV4『线路5』
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路7』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4『线路8』
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4『线路9』
CCTV1,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPpqgHe3PQ5GNQoO-yUgA8C%2CEND$LR•IPV6『线路10』
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2$LR•IPV4『线路1』
CCTV2,http://ttkx.cc:1380/653哈哈/mg9.php?id=cctv2$LR•IPV4『线路2』
CCTV2,http://123.138.22.30:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
